Label: Vasto lateral direito: EMG 1->Scale->Math Sampling frequency: 1,925926e+003 Number of points: 58682 X start: 0,000000e+000 Unit: Volts Domain Unit: s
X [s]	Vasto lateral direito: EMG 1->Scale->Math [Volts]
0,000000e+000	9,832609e-006
5,192308e-004	6,611582e-006
1,038462e-003	3,221027e-006
1,557692e-003	1,186694e-006
2,076923e-003	1,695277e-006
2,596154e-003	2,373388e-006
3,115385e-003	3,221027e-006
3,634615e-003	1,525750e-006
4,153846e-003	8,476387e-007
4,673077e-003	3,221027e-006
5,192308e-003	5,255360e-006
5,711538e-003	0,000000e+000
6,230769e-003	6,781109e-007
6,750000e-003	3,221027e-006
7,269231e-003	5,085832e-006
7,788462e-003	8,476387e-007
8,307692e-003	2,203861e-006
8,826923e-003	8,476387e-007
9,346154e-003	3,560082e-006
9,865385e-003	5,255360e-006
1,038462e-002	4,068666e-006
1,090385e-002	1,356222e-006
1,142308e-002	1,864805e-006
1,194231e-002	0,000000e+000
1,246154e-002	1,186694e-006
1,298077e-002	0,000000e+000
1,350000e-002	1,356222e-006
1,401923e-002	2,881972e-006
1,453846e-002	5,424887e-006
1,505769e-002	7,120165e-006
1,557692e-002	9,154497e-006
1,609615e-002	6,611582e-006
1,661538e-002	4,577249e-006
1,713462e-002	5,594415e-006
1,765385e-002	3,390555e-006
1,817308e-002	0,000000e+000
1,869231e-002	1,695277e-007
1,921154e-002	1,864805e-006
1,973077e-002	1,695277e-007
2,025000e-002	1,017166e-006
2,076923e-002	3,560082e-006
2,128846e-002	5,933471e-006
2,180769e-002	4,577249e-006
2,232692e-002	1,186694e-006
2,284615e-002	1,186694e-006
2,336538e-002	4,577249e-006
2,388462e-002	3,560082e-006
2,440385e-002	4,068666e-006
2,492308e-002	1,000214e-005
2,544231e-002	1,288411e-005
2,596154e-002	1,339269e-005
2,648077e-002	1,610514e-005
2,700000e-002	1,695277e-005
2,751923e-002	1,254505e-005
2,803846e-002	5,594415e-006
2,855769e-002	3,221027e-006
2,907692e-002	3,221027e-006
2,959615e-002	2,373388e-006
3,011538e-002	1,864805e-006
3,063462e-002	2,881972e-006
3,115385e-002	2,881972e-006
3,167308e-002	5,085832e-006
3,219231e-002	8,645915e-006
3,271154e-002	1,051072e-005
3,323077e-002	1,101930e-005
3,375000e-002	9,324025e-006
3,426923e-002	7,967803e-006
3,478846e-002	5,594415e-006
3,530769e-002	2,881972e-006
3,582692e-002	1,186694e-006
3,634615e-002	6,781109e-007
3,686538e-002	1,695277e-007
3,738462e-002	1,186694e-006
3,790385e-002	1,017166e-006
3,842308e-002	3,390555e-007
3,894231e-002	1,864805e-006
3,946154e-002	3,729610e-006
3,998077e-002	3,390555e-006
4,050000e-002	1,525750e-006
4,101923e-002	1,525750e-006
4,153846e-002	2,373388e-006
4,205769e-002	3,560082e-006
4,257692e-002	3,729610e-006
4,309615e-002	4,407721e-006
4,361538e-002	4,746776e-006
4,413462e-002	6,950637e-006
4,465385e-002	7,120165e-006
4,517308e-002	3,560082e-006
4,569231e-002	1,017166e-006
4,621154e-002	3,221027e-006
4,673077e-002	6,102998e-006
4,725000e-002	2,542916e-006
4,776923e-002	6,781109e-007
4,828846e-002	8,476387e-007
4,880769e-002	1,864805e-006
4,932692e-002	4,916305e-006
4,984615e-002	4,577249e-006
5,036538e-002	6,781109e-007
5,088462e-002	2,542916e-006
5,140385e-002	1,525750e-006
5,192308e-002	2,203861e-006
5,244231e-002	4,238194e-006
5,296154e-002	3,560082e-006
5,348077e-002	1,186694e-006
5,400000e-002	6,781109e-007
5,451923e-002	3,390555e-007
5,503846e-002	1,525750e-006
5,555769e-002	5,255360e-006
5,607692e-002	5,424887e-006
5,659615e-002	2,034333e-006
5,711538e-002	1,864805e-006
5,763462e-002	2,203861e-006
5,815385e-002	1,186694e-006
5,867308e-002	1,186694e-006
5,919231e-002	3,899138e-006
5,971154e-002	4,916305e-006
6,023077e-002	5,085832e-006
6,075000e-002	5,763943e-006
6,126923e-002	5,594415e-006
6,178846e-002	5,255360e-006
6,230769e-002	4,916305e-006
6,282692e-002	3,560082e-006
6,334615e-002	5,255360e-006
6,386538e-002	8,306859e-006
6,438462e-002	6,102998e-006
6,490385e-002	6,781110e-006
6,542308e-002	9,663081e-006
6,594231e-002	1,034119e-005
6,646154e-002	1,169741e-005
6,698077e-002	1,322316e-005
6,750000e-002	1,305364e-005
6,801923e-002	1,169741e-005
6,853846e-002	7,967803e-006
6,905769e-002	6,611582e-006
6,957692e-002	6,102998e-006
7,009615e-002	5,933471e-006
7,061538e-002	6,102998e-006
7,113462e-002	4,916305e-006
7,165385e-002	2,203861e-006
7,217308e-002	3,899138e-006
7,269231e-002	8,306859e-006
7,321154e-002	5,763943e-006
7,373077e-002	2,542916e-006
7,425000e-002	3,560082e-006
7,476923e-002	2,881972e-006
7,528846e-002	3,390555e-007
7,580769e-002	1,695277e-006
7,632692e-002	4,746776e-006
7,684615e-002	5,594415e-006
7,736538e-002	3,729610e-006
7,788462e-002	5,085832e-007
7,840385e-002	2,373388e-006
7,892308e-002	6,272526e-006
7,944231e-002	5,255360e-006
7,996154e-002	5,594415e-006
8,048077e-002	8,645915e-006
8,100000e-002	8,476387e-006
8,151923e-002	1,525750e-006
8,203846e-002	4,407721e-006
8,255769e-002	4,407721e-006
8,307692e-002	3,729610e-006
8,359615e-002	5,085832e-007
8,411538e-002	4,577249e-006
8,463462e-002	5,933471e-006
8,515385e-002	1,695277e-006
8,567308e-002	8,476387e-006
8,619231e-002	1,017166e-005
8,671154e-002	3,729610e-006
8,723077e-002	2,203861e-006
8,775000e-002	2,542916e-006
8,826923e-002	1,356222e-006
8,878846e-002	2,881972e-006
8,930769e-002	2,203861e-006
8,982692e-002	7,628748e-006
9,034615e-002	7,289692e-006
9,086538e-002	2,881972e-006
9,138462e-002	2,034333e-006
9,190385e-002	5,255360e-006
9,242308e-002	4,746776e-006
9,294231e-002	2,881972e-006
9,346154e-002	2,373388e-006
9,398077e-002	0,000000e+000
9,450000e-002	1,695277e-006
9,501923e-002	1,017166e-006
9,553846e-002	2,203861e-006
9,605769e-002	4,238194e-006
9,657692e-002	1,186694e-006
