Label: Vasto lateral direito: EMG 1->Scale->Math->Filter Sampling frequency: 1,925926e+003 Number of points: 58682 X start: 0,000000e+000 Unit: Volts Domain Unit: s
X [s]	Vasto lateral direito: EMG 1->Scale->Math->Filter [Volts]
0,000000e+000	9,289844e-010
5,192308e-004	4,314884e-009
1,038462e-003	1,008934e-008
1,557692e-003	1,704775e-008
2,076923e-003	2,449846e-008
2,596154e-003	3,239318e-008
3,115385e-003	4,097308e-008
3,634615e-003	5,028027e-008
4,153846e-003	5,998706e-008
4,673077e-003	7,001480e-008
5,192308e-003	8,092754e-008
5,711538e-003	9,280913e-008
6,230769e-003	1,048918e-007
6,750000e-003	1,170375e-007
7,269231e-003	1,299605e-007
7,788462e-003	1,438270e-007
8,307692e-003	1,581094e-007
8,826923e-003	1,725187e-007
9,346154e-003	1,871742e-007
9,865385e-003	2,026081e-007
1,038462e-002	2,192579e-007
1,090385e-002	2,367637e-007
1,142308e-002	2,545189e-007
1,194231e-002	2,721737e-007
1,246154e-002	2,895319e-007
1,298077e-002	3,065310e-007
1,350000e-002	3,231904e-007
1,401923e-002	3,398013e-007
1,453846e-002	3,570156e-007
1,505769e-002	3,755950e-007
1,557692e-002	3,962481e-007
1,609615e-002	4,192148e-007
1,661538e-002	4,439426e-007
1,713462e-002	4,698457e-007
1,765385e-002	4,966739e-007
1,817308e-002	5,237512e-007
1,869231e-002	5,502276e-007
1,921154e-002	5,759814e-007
1,973077e-002	6,011987e-007
2,025000e-002	6,258047e-007
2,076923e-002	6,500469e-007
2,128846e-002	6,747110e-007
2,180769e-002	7,003367e-007
2,232692e-002	7,265358e-007
2,284615e-002	7,525137e-007
2,336538e-002	7,782668e-007
2,388462e-002	8,043360e-007
2,440385e-002	8,308791e-007
2,492308e-002	8,584336e-007
2,544231e-002	8,884031e-007
2,596154e-002	9,218635e-007
2,648077e-002	9,593315e-007
2,700000e-002	1,001324e-006
2,751923e-002	1,047702e-006
2,803846e-002	1,096919e-006
2,855769e-002	1,146924e-006
2,907692e-002	1,196572e-006
2,959615e-002	1,245549e-006
3,011538e-002	1,293648e-006
3,063462e-002	1,340793e-006
3,115385e-002	1,387137e-006
3,167308e-002	1,432989e-006
3,219231e-002	1,479098e-006
3,271154e-002	1,526496e-006
3,323077e-002	1,575867e-006
3,375000e-002	1,627251e-006
3,426923e-002	1,680173e-006
3,478846e-002	1,733930e-006
3,530769e-002	1,787646e-006
3,582692e-002	1,840405e-006
3,634615e-002	1,891589e-006
3,686538e-002	1,940917e-006
3,738462e-002	1,988373e-006
3,790385e-002	2,034118e-006
3,842308e-002	2,078181e-006
3,894231e-002	2,120593e-006
3,946154e-002	2,161782e-006
3,998077e-002	2,202230e-006
4,050000e-002	2,241879e-006
4,101923e-002	2,280352e-006
4,153846e-002	2,317568e-006
4,205769e-002	2,353822e-006
4,257692e-002	2,389446e-006
4,309615e-002	2,424651e-006
4,361538e-002	2,459613e-006
4,413462e-002	2,494661e-006
4,465385e-002	2,530243e-006
4,517308e-002	2,566236e-006
4,569231e-002	2,601719e-006
4,621154e-002	2,636082e-006
4,673077e-002	2,669792e-006
4,725000e-002	2,703271e-006
4,776923e-002	2,735935e-006
4,828846e-002	2,767121e-006
4,880769e-002	2,796811e-006
4,932692e-002	2,825531e-006
4,984615e-002	2,853936e-006
5,036538e-002	2,881880e-006
